keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Putin',de,Russland,#4287f5,#315fa8,1,0.5614125
'Lavrov',de,Russland,#9e3215,#9e3215,1,0.555863463125
'Scholz',de,Deutschland,#4287f5,#638ed4,1,0.5441805312499999
'Habeck',de,Deutschland,#4287f5,#022f78,1,0.5125670175
'Baerbock',de,Deutschland,#9e3215,#b55035,1,0.4986510416666665
'Gas',de,Energie,#679e2c,#679e2c,1,0.4794875
'Strom',de,Energie,#a89216,#a89216,1,0.4786575
'Wärme',de,Energie,#a89216,#87830f,1,0.4705857873661989
'Preis',de,Energie,#a89216,#bfba22,1,0.4703845937499998
'Krieg',de,Politik,#679e2c,#7db344,1,0.4617094631672111
'Angriff',de,Politik,#9e3215,#d64118,1,0.4539151550156249
'Treffen',de,Politik,#a89216,#c4b03b,2,0.4228879266406248
'Winter',de,Wetter,#4287f5,#3b4a63,2,0.37773410268877505
'Kälte',de,Wetter,#679e2c,#61b00c,1,0.3705460201285585
'Frost',de,Wetter,#679e2c,#477515,1,0.2844000461382296
'Schnee',de,Wetter,#9e3215,#802d16,1,0.2615824620417953
